# Mapping of demand for final fuels in GCAM-China (byu version) with detailed industry,,,,,,,,,,,,,,
sector,input,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,unit_conv
mining energy use,gas,Final Energy,Final Energy|Gases,,,Final Energy|Industry,,Final Energy|Industry|Gases,,Final Energy|Industry|mining energy use,Final Energy|Industry|mining energy use|Gases,,,1
municipal wastewater treatment,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,,,,,1
municipal water abstraction,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,,,,,1
municipal water distribution,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,,,,,1
municipal water treatment,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,,,,,1
mining energy use,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,Final Energy|Industry|mining energy use,Final Energy|Industry|mining energy use|Hydrogen,,,1
mining energy use,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Industry,,Final Energy|Industry|Liquids,,Final Energy|Industry|mining energy use,Final Energy|Industry|mining energy use|Liquids,,,1
agricultural energy use,H2 industrial,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,Final Energy|Industry|agricultural energy use,Final Energy|Industry|agricultural energy use|Hydrogen,,,1
construction energy use,H2 industrial,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,Final Energy|Industry|construction energy use,Final Energy|Industry|construction energy use|Hydrogen,,,1
mining energy use,H2 industrial,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,Final Energy|Industry|mining energy use,Final Energy|Industry|mining energy use|Hydrogen,,,1
